longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-122.17,37.76,38.0,1764.0,397.0,987.0,354.0,2.4333,NEAR BAY
-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624,NEAR BAY
-117.38,33.2,17.0,1877.0,581.0,1288.0,426.0,1.9386,NEAR OCEAN
-122.3,38.0,34.0,1712.0,317.0,956.0,341.0,4.4394,NEAR BAY
-119.57,36.44,30.0,1860.0,337.0,1123.0,347.0,3.4926,INLAND
-117.32,34.12,39.0,2210.0,498.0,1752.0,477.0,1.4066,INLAND
-117.86,34.01,16.0,4632.0,,3038.0,727.0,5.1762,<1H OCEAN
-117.05,33.13,20.0,7746.0,2035.0,5370.0,1838.0,2.3762,<1H OCEAN
-117.05,32.61,26.0,1563.0,286.0,1145.0,313.0,3.8615,NEAR OCEAN
-117.76,34.71,15.0,2981.0,625.0,1694.0,540.0,2.9541,INLAND
-118.08,33.99,38.0,1683.0,328.0,1369.0,339.0,3.6196,<1H OCEAN
-118.3,34.06,21.0,3960.0,1490.0,3468.0,1335.0,1.8214,<1H OCEAN
-119.04,34.28,21.0,1856.0,276.0,863.0,255.0,4.5833,<1H OCEAN
-117.03,32.73,34.0,2061.0,,1169.0,400.0,3.5096,NEAR OCEAN
-117.71,34.06,16.0,1458.0,295.0,912.0,331.0,3.625,INLAND
-117.53,33.83,7.0,2191.0,324.0,1156.0,310.0,5.5362,INLAND
-118.28,33.93,42.0,1898.0,460.0,1503.0,429.0,2.5179,<1H OCEAN
-117.97,34.0,28.0,1983.0,375.0,1407.0,367.0,3.8319,<1H OCEAN
-121.91,36.97,19.0,4920.0,1092.0,1807.0,922.0,3.5112,NEAR OCEAN
-119.79,36.32,19.0,3252.0,614.0,1971.0,607.0,3.0667,INLAND
-122.11,37.64,31.0,1487.0,280.0,854.0,301.0,5.2312,NEAR BAY
-122.42,37.76,52.0,4407.0,1192.0,2280.0,1076.0,3.3937,NEAR BAY
-121.99,37.96,16.0,3324.0,479.0,1470.0,461.0,7.6166,INLAND
-120.47,37.34,9.0,2934.0,511.0,1227.0,501.0,3.6742,INLAND
-118.24,34.24,31.0,3019.0,469.0,1349.0,462.0,7.1463,<1H OCEAN
-117.1,32.75,15.0,2422.0,774.0,2120.0,715.0,1.0617,NEAR OCEAN
-117.16,32.75,23.0,2474.0,594.0,1107.0,536.0,2.9705,NEAR OCEAN
-117.96,33.73,22.0,3479.0,455.0,1454.0,488.0,6.6324,<1H OCEAN
-119.77,36.86,7.0,4139.0,544.0,1843.0,562.0,8.2737,INLAND
-122.31,37.93,39.0,2505.0,371.0,872.0,345.0,5.3433,NEAR BAY
-122.1,37.19,18.0,808.0,136.0,420.0,145.0,7.1831,NEAR OCEAN
-121.25,38.8,14.0,5094.0,729.0,1974.0,705.0,5.5205,INLAND
-122.08,37.41,20.0,1896.0,456.0,1069.0,436.0,4.6875,NEAR BAY
-122.2,37.79,29.0,1640.0,376.0,939.0,340.0,2.8321,NEAR BAY
-118.2,33.79,47.0,2549.0,626.0,1388.0,606.0,3.0135,NEAR OCEAN
-122.03,37.61,37.0,1383.0,259.0,808.0,241.0,4.0125,NEAR BAY
-121.89,37.35,43.0,1185.0,296.0,933.0,244.0,2.925,<1H OCEAN
-118.16,34.02,47.0,1055.0,298.0,1303.0,302.0,2.6964,<1H OCEAN
-117.31,34.03,24.0,1966.0,299.0,786.0,302.0,5.0318,INLAND
-117.09,32.74,42.0,1986.0,472.0,1472.0,475.0,2.1757,NEAR OCEAN
-122.15,37.7,36.0,1468.0,252.0,733.0,229.0,3.4583,NEAR BAY
-117.37,33.19,33.0,2205.0,453.0,1138.0,439.0,2.8819,NEAR OCEAN
-118.08,33.86,26.0,778.0,173.0,539.0,186.0,3.2679,<1H OCEAN
-118.13,33.89,29.0,2823.0,737.0,1723.0,678.0,2.7121,<1H OCEAN
-117.93,33.86,35.0,931.0,181.0,516.0,174.0,5.5867,<1H OCEAN
-118.43,34.17,37.0,1982.0,331.0,794.0,340.0,5.9275,<1H OCEAN
-118.32,34.05,42.0,3292.0,713.0,2224.0,674.0,3.5517,<1H OCEAN
-117.36,33.2,26.0,2447.0,482.0,1405.0,486.0,3.2917,NEAR OCEAN
-118.28,33.97,38.0,1819.0,497.0,2110.0,499.0,1.6027,<1H OCEAN
-121.97,37.56,13.0,8918.0,1823.0,4518.0,1772.0,4.8052,<1H OCEAN
-122.32,37.69,48.0,592.0,122.0,340.0,143.0,5.966,NEAR BAY
-118.17,34.02,41.0,676.0,216.0,851.0,199.0,2.3077,<1H OCEAN
-117.35,34.0,38.0,1214.0,254.0,723.0,236.0,2.5469,INLAND
-118.44,34.0,44.0,1462.0,338.0,821.0,341.0,2.599,<1H OCEAN
-118.14,33.91,32.0,1981.0,472.0,1371.0,431.0,3.1204,<1H OCEAN
-119.66,36.35,15.0,1724.0,374.0,947.0,391.0,3.1094,INLAND
-117.09,32.8,15.0,666.0,152.0,247.0,164.0,2.15,NEAR OCEAN
-119.72,36.75,11.0,4832.0,993.0,2190.0,888.0,2.6611,INLAND
-119.55,34.38,17.0,1951.0,368.0,681.0,350.0,2.7275,<1H OCEAN
-122.02,38.27,20.0,2237.0,464.0,1169.0,425.0,3.2115,INLAND
-122.12,37.12,51.0,2419.0,485.0,1078.0,435.0,2.7933,NEAR OCEAN
-117.05,32.61,21.0,6034.0,1205.0,3795.0,1146.0,3.2633,NEAR OCEAN
-123.79,39.44,36.0,1330.0,273.0,761.0,286.0,2.7813,<1H OCEAN
-118.06,33.72,17.0,4573.0,937.0,1619.0,796.0,5.7704,NEAR OCEAN
-121.71,39.71,17.0,2748.0,556.0,1174.0,514.0,3.066,INLAND
-121.01,37.64,52.0,201.0,35.0,74.0,22.0,1.3036,INLAND
-118.12,33.98,44.0,932.0,179.0,717.0,180.0,3.6875,<1H OCEAN
-121.93,37.28,10.0,3163.0,832.0,1537.0,797.0,4.1674,<1H OCEAN
-119.79,36.83,15.0,3356.0,694.0,1232.0,627.0,2.2215,INLAND
-122.86,38.62,35.0,2597.0,522.0,1231.0,499.0,2.7432,<1H OCEAN
-118.47,33.99,33.0,854.0,235.0,645.0,198.0,2.1471,<1H OCEAN
-122.1,37.97,18.0,4326.0,655.0,1753.0,646.0,5.6931,NEAR BAY
-122.23,37.79,30.0,610.0,145.0,425.0,140.0,1.6198,NEAR BAY
-120.99,37.66,30.0,1718.0,395.0,914.0,400.0,1.933,INLAND
-122.71,38.4,17.0,1690.0,464.0,833.0,445.0,1.439,<1H OCEAN
-118.26,34.0,41.0,1733.0,492.0,1776.0,453.0,1.6221,<1H OCEAN
-118.34,33.93,35.0,1213.0,284.0,742.0,253.0,4.0625,<1H OCEAN
-117.92,33.88,32.0,1632.0,244.0,575.0,235.0,5.3986,<1H OCEAN
-118.42,34.19,33.0,3285.0,830.0,2281.0,786.0,2.6165,<1H OCEAN
-119.61,36.59,10.0,2842.0,620.0,1443.0,576.0,2.2727,INLAND
-121.02,37.65,20.0,2973.0,620.0,1996.0,570.0,3.0645,INLAND
-121.33,37.96,42.0,1619.0,340.0,906.0,339.0,2.5488,INLAND
-118.42,34.23,34.0,1550.0,279.0,1011.0,288.0,4.5375,<1H OCEAN
-118.19,34.05,35.0,1296.0,307.0,1423.0,276.0,2.7432,<1H OCEAN
-122.49,37.69,35.0,2644.0,456.0,1465.0,430.0,4.9375,NEAR OCEAN
-117.96,34.53,10.0,2907.0,559.0,1681.0,531.0,3.8594,INLAND
-118.31,33.92,35.0,1307.0,246.0,672.0,219.0,4.8456,<1H OCEAN
-118.56,34.19,35.0,782.0,144.0,425.0,140.0,5.4548,<1H OCEAN
-121.3,38.05,52.0,122.0,26.0,62.0,25.0,1.15,INLAND
-117.95,33.68,19.0,1028.0,191.0,340.0,159.0,3.6364,<1H OCEAN
-117.87,33.6,33.0,3120.0,602.0,1155.0,553.0,5.2949,<1H OCEAN
-118.11,34.17,46.0,2837.0,592.0,1453.0,549.0,3.1115,INLAND
-117.24,32.81,33.0,1588.0,289.0,683.0,301.0,5.4103,NEAR OCEAN
-117.8,33.78,17.0,4138.0,805.0,2442.0,780.0,4.7804,<1H OCEAN
-118.11,33.75,15.0,2569.0,812.0,785.0,477.0,5.4011,NEAR OCEAN
-122.12,37.69,30.0,1197.0,269.0,695.0,279.0,3.4375,NEAR BAY
-117.24,33.23,13.0,3756.0,648.0,1767.0,614.0,4.0776,<1H OCEAN
-117.23,32.74,35.0,2615.0,525.0,1312.0,547.0,4.1339,NEAR OCEAN
-116.73,34.52,16.0,1247.0,315.0,433.0,159.0,1.0568,INLAND
-114.31,34.19,15.0,5612.0,1283.0,1015.0,472.0,1.4936,INLAND
-118.41,34.15,33.0,4032.0,868.0,1695.0,869.0,4.3468,<1H OCEAN
-122.88,38.34,20.0,3404.0,628.0,1641.0,585.0,5.0574,<1H OCEAN
-120.93,38.5,15.0,1248.0,234.0,529.0,216.0,3.3393,INLAND
-121.32,38.01,36.0,391.0,74.0,171.0,79.0,2.7045,INLAND
-117.87,34.11,23.0,4066.0,819.0,2105.0,737.0,4.6556,<1H OCEAN
-115.54,32.97,41.0,2429.0,454.0,1188.0,430.0,3.0091,INLAND
-117.48,34.08,28.0,1922.0,382.0,1565.0,340.0,3.915,INLAND
-118.13,34.07,20.0,2130.0,654.0,1870.0,578.0,2.3664,<1H OCEAN
-123.39,38.99,28.0,1416.0,294.0,812.0,258.0,3.4063,<1H OCEAN
-118.15,34.19,47.0,1717.0,314.0,868.0,295.0,3.6094,<1H OCEAN
-118.51,34.19,38.0,2182.0,409.0,1141.0,379.0,4.2865,<1H OCEAN
-117.9,33.99,18.0,8076.0,1789.0,5325.0,1707.0,3.443,<1H OCEAN
-118.35,34.08,52.0,1710.0,350.0,727.0,355.0,4.5833,<1H OCEAN
-117.92,33.85,44.0,1231.0,258.0,682.0,244.0,3.2344,<1H OCEAN
-118.37,34.05,52.0,2346.0,437.0,1121.0,400.0,4.0583,<1H OCEAN
-118.16,34.17,46.0,1508.0,261.0,674.0,255.0,3.5909,<1H OCEAN
-121.88,37.29,44.0,2026.0,396.0,908.0,383.0,4.1406,<1H OCEAN
-121.86,37.35,43.0,1536.0,371.0,1256.0,357.0,2.8,<1H OCEAN
-118.21,33.92,28.0,2949.0,1003.0,4551.0,930.0,1.9026,<1H OCEAN
-118.28,33.75,41.0,1305.0,381.0,1384.0,369.0,2.45,NEAR OCEAN
-121.85,39.77,17.0,5273.0,1177.0,2446.0,1199.0,1.9362,INLAND
-121.59,39.75,20.0,908.0,206.0,481.0,211.0,2.2,INLAND
-118.42,33.93,39.0,2988.0,605.0,1466.0,610.0,4.9286,<1H OCEAN
-118.01,33.7,24.0,3856.0,567.0,1741.0,588.0,7.248,<1H OCEAN
-117.09,32.62,37.0,1538.0,298.0,867.0,285.0,3.0729,NEAR OCEAN
-118.27,33.95,43.0,1156.0,291.0,1074.0,299.0,1.8814,<1H OCEAN
-118.23,33.91,34.0,1060.0,276.0,1215.0,250.0,2.0804,<1H OCEAN
-118.49,34.19,23.0,2087.0,571.0,1809.0,553.0,3.1667,<1H OCEAN
-118.22,33.98,15.0,1011.0,274.0,899.0,219.0,2.7045,<1H OCEAN
-121.46,38.57,52.0,1625.0,419.0,614.0,383.0,2.0549,INLAND
-120.75,37.44,27.0,2295.0,424.0,1252.0,350.0,3.6182,INLAND
-120.92,37.63,39.0,45.0,8.0,22.0,9.0,1.7679,INLAND
-118.7,34.53,5.0,14275.0,2474.0,7158.0,2311.0,5.4284,INLAND
-121.95,37.74,19.0,5721.0,837.0,2653.0,813.0,6.2631,<1H OCEAN
-117.11,33.14,10.0,3208.0,636.0,1395.0,582.0,3.4455,<1H OCEAN
-120.43,34.97,28.0,1433.0,270.0,1001.0,278.0,4.0125,<1H OCEAN
-120.41,34.96,9.0,2712.0,428.0,1116.0,415.0,4.5536,<1H OCEAN
-119.73,36.59,31.0,1551.0,296.0,1058.0,287.0,3.3438,INLAND
-118.1,33.86,21.0,3052.0,624.0,1588.0,568.0,4.3397,<1H OCEAN
-118.29,34.02,26.0,2001.0,582.0,2044.0,557.0,1.1563,<1H OCEAN
-117.29,34.1,19.0,1204.0,405.0,844.0,424.0,0.7235,INLAND
-122.25,38.12,47.0,1339.0,298.0,794.0,286.0,2.5865,NEAR BAY
-118.53,34.26,18.0,3674.0,,1590.0,550.0,8.176,<1H OCEAN
-117.51,33.97,35.0,352.0,62.0,184.0,57.0,3.6691,INLAND
-121.89,37.69,4.0,6159.0,1510.0,2649.0,1241.0,3.62,<1H OCEAN
-117.02,32.8,31.0,2692.0,445.0,1129.0,450.0,4.4583,<1H OCEAN
-118.15,34.14,52.0,403.0,117.0,361.0,105.0,1.625,<1H OCEAN
-120.97,37.66,24.0,2930.0,588.0,1448.0,570.0,3.5395,INLAND
-117.11,32.76,21.0,2226.0,600.0,1085.0,533.0,2.2604,NEAR OCEAN
-121.7,37.93,10.0,3258.0,612.0,1779.0,558.0,4.6587,INLAND
-119.27,35.5,21.0,2171.0,483.0,1315.0,450.0,1.7105,INLAND
-119.65,36.33,52.0,1257.0,257.0,624.0,243.0,2.3523,INLAND
-119.72,36.34,33.0,1287.0,214.0,580.0,210.0,3.2019,INLAND
-121.0,37.65,52.0,3887.0,803.0,1768.0,779.0,2.5089,INLAND
-119.29,36.34,35.0,1235.0,369.0,1246.0,341.0,1.474,INLAND
-118.45,34.32,23.0,3481.0,641.0,1952.0,682.0,4.26,<1H OCEAN
-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,1.6504,NEAR BAY
-122.14,37.7,36.0,1266.0,228.0,606.0,239.0,3.9702,NEAR BAY
-122.44,37.73,52.0,866.0,205.0,587.0,171.0,5.0224,NEAR BAY
-117.67,35.64,6.0,2115.0,342.0,927.0,337.0,6.1935,INLAND
-117.11,32.67,46.0,928.0,236.0,790.0,235.0,1.6806,NEAR OCEAN
-120.34,38.25,17.0,5497.0,1056.0,997.0,408.0,2.9821,INLAND
-118.12,33.92,27.0,6336.0,1628.0,4673.0,1505.0,2.5893,<1H OCEAN
-116.88,34.08,52.0,3419.0,777.0,710.0,265.0,3.9028,INLAND
-118.36,34.23,15.0,2485.0,742.0,1994.0,670.0,2.8333,<1H OCEAN
-118.34,33.84,36.0,1561.0,252.0,740.0,253.0,6.2778,<1H OCEAN
-121.92,38.34,2.0,7747.0,1133.0,3481.0,1083.0,6.1112,INLAND
-122.16,38.02,40.0,1800.0,290.0,761.0,277.0,5.1265,NEAR BAY
-118.32,34.08,52.0,1164.0,257.0,575.0,251.0,3.125,<1H OCEAN
-122.11,37.41,27.0,5110.0,1599.0,2764.0,1482.0,3.4198,NEAR BAY
-117.93,33.86,17.0,1627.0,398.0,1216.0,369.0,3.3438,<1H OCEAN
-118.29,33.73,30.0,3161.0,,1865.0,771.0,2.7139,NEAR OCEAN
-117.29,33.63,7.0,16010.0,2726.0,7139.0,2426.0,3.8056,<1H OCEAN
-122.25,37.89,37.0,3000.0,457.0,987.0,450.0,7.5385,NEAR BAY
-118.36,34.15,34.0,3659.0,921.0,1338.0,835.0,3.6202,<1H OCEAN
-122.01,37.39,16.0,3015.0,829.0,1769.0,807.0,4.0068,<1H OCEAN
-119.08,35.35,20.0,892.0,129.0,331.0,135.0,7.1837,INLAND
-118.19,34.06,44.0,1734.0,364.0,1133.0,351.0,2.5132,<1H OCEAN
-116.18,33.69,17.0,89.0,19.0,79.0,21.0,2.375,INLAND
-118.16,34.19,42.0,2076.0,462.0,1641.0,436.0,2.2326,<1H OCEAN
-117.14,32.83,25.0,2161.0,462.0,896.0,468.0,2.2284,NEAR OCEAN
-118.4,34.0,34.0,1816.0,335.0,872.0,339.0,4.85,<1H OCEAN
-118.35,33.87,28.0,2319.0,579.0,1369.0,564.0,3.6169,<1H OCEAN
-121.87,37.21,18.0,1080.0,122.0,382.0,121.0,9.08,<1H OCEAN
-122.1,40.05,26.0,633.0,129.0,305.0,140.0,2.1827,INLAND
-117.82,33.68,4.0,1346.0,213.0,603.0,219.0,8.7974,<1H OCEAN
-118.3,33.88,30.0,1348.0,333.0,885.0,322.0,3.2574,<1H OCEAN
-117.07,32.59,21.0,1779.0,466.0,1327.0,488.0,1.6007,NEAR OCEAN
-117.09,32.62,37.0,1925.0,428.0,1344.0,426.0,2.4866,NEAR OCEAN
-121.76,37.3,6.0,3526.0,559.0,1378.0,491.0,6.1463,<1H OCEAN
-118.25,34.15,13.0,1107.0,479.0,616.0,443.0,0.8185,<1H OCEAN
-117.12,32.76,26.0,1221.0,331.0,620.0,296.0,2.4821,NEAR OCEAN
-115.51,32.99,20.0,1402.0,287.0,1104.0,317.0,1.9088,INLAND
-118.14,33.75,39.0,1995.0,634.0,867.0,567.0,4.0795,NEAR OCEAN
-117.14,32.8,33.0,2670.0,435.0,1256.0,431.0,3.9417,NEAR OCEAN
-118.05,33.71,25.0,4150.0,570.0,1424.0,547.0,8.8281,NEAR OCEAN
-118.55,34.2,31.0,1963.0,420.0,1494.0,415.0,3.5313,<1H OCEAN
-117.42,34.0,32.0,1617.0,346.0,1153.0,385.0,3.016,INLAND
-118.3,33.75,19.0,2356.0,440.0,1291.0,418.0,4.2308,<1H OCEAN
-122.22,38.11,43.0,1939.0,353.0,968.0,392.0,3.1848,NEAR BAY
-117.31,34.04,29.0,2481.0,383.0,1188.0,385.0,4.7344,INLAND
-118.37,34.03,41.0,1425.0,285.0,838.0,296.0,3.9732,<1H OCEAN
-122.46,37.72,45.0,2399.0,419.0,1225.0,399.0,4.0855,NEAR OCEAN
-118.11,33.96,29.0,2784.0,582.0,1278.0,550.0,4.3882,<1H OCEAN
-116.57,33.84,18.0,7962.0,1652.0,2009.0,921.0,3.3897,INLAND
-117.88,34.11,18.0,2923.0,670.0,1751.0,656.0,3.2383,<1H OCEAN
-120.46,34.64,26.0,2364.0,604.0,1520.0,529.0,1.9444,NEAR OCEAN
-121.95,38.43,19.0,3011.0,551.0,1665.0,535.0,5.1534,INLAND
-120.41,38.03,14.0,2061.0,465.0,859.0,462.0,2.1289,INLAND
-115.8,33.26,2.0,96.0,18.0,30.0,16.0,5.3374,INLAND
-122.78,38.97,11.0,5175.0,971.0,2144.0,792.0,3.0466,INLAND
-119.17,34.16,17.0,5276.0,1020.0,4066.0,984.0,4.5828,NEAR OCEAN
-122.86,39.05,20.0,1592.0,327.0,647.0,253.0,2.5326,INLAND
-121.98,37.25,19.0,755.0,93.0,267.0,99.0,15.0,<1H OCEAN
-118.11,33.91,29.0,889.0,166.0,597.0,163.0,4.9609,<1H OCEAN
-116.98,34.05,6.0,2290.0,312.0,957.0,274.0,7.2708,INLAND
-122.83,38.96,15.0,1318.0,296.0,567.0,276.0,1.8692,INLAND
-120.82,37.05,15.0,1385.0,288.0,775.0,255.0,1.933,INLAND
-120.79,38.24,19.0,1003.0,235.0,538.0,190.0,2.9821,INLAND
-117.2,32.8,33.0,2573.0,436.0,1084.0,443.0,4.2417,NEAR OCEAN
-118.34,33.98,40.0,2108.0,526.0,1922.0,544.0,3.163,<1H OCEAN
-122.26,38.33,34.0,2048.0,316.0,780.0,267.0,5.815,NEAR BAY
-117.05,32.71,25.0,3292.0,608.0,2266.0,592.0,3.2986,NEAR OCEAN
-117.31,34.13,36.0,1076.0,283.0,773.0,224.0,2.6307,INLAND
-122.06,37.39,26.0,18.0,4.0,8.0,4.0,3.75,NEAR BAY
-122.44,37.77,52.0,2537.0,559.0,849.0,530.0,5.1788,NEAR BAY
-119.02,35.36,47.0,1631.0,340.0,847.0,315.0,2.5062,INLAND
-122.3,37.53,37.0,1338.0,215.0,535.0,221.0,5.4351,NEAR OCEAN
-121.24,38.72,12.0,3605.0,576.0,1556.0,549.0,4.9,INLAND
-118.35,34.1,20.0,2745.0,782.0,1161.0,739.0,3.9044,<1H OCEAN
-117.09,32.67,37.0,1157.0,332.0,983.0,306.0,2.0972,NEAR OCEAN
-118.31,33.98,52.0,1975.0,379.0,1043.0,371.0,2.3977,<1H OCEAN
-122.42,37.74,52.0,2084.0,550.0,1438.0,516.0,2.3087,NEAR BAY
-121.8,36.68,18.0,8581.0,1957.0,6071.0,1889.0,3.0,<1H OCEAN
-121.86,37.27,19.0,1852.0,268.0,866.0,272.0,5.6139,<1H OCEAN
-117.38,33.2,26.0,1427.0,386.0,974.0,317.0,1.3903,NEAR OCEAN
-116.93,33.74,15.0,3757.0,666.0,1693.0,654.0,3.6806,INLAND
-118.23,33.98,35.0,1366.0,496.0,2160.0,497.0,2.2059,<1H OCEAN
-117.21,34.08,5.0,5749.0,1385.0,2382.0,1088.0,3.0587,INLAND
-124.17,40.75,13.0,2171.0,339.0,951.0,353.0,4.8516,NEAR OCEAN
-122.05,37.94,22.0,4162.0,1194.0,1804.0,1185.0,2.5459,NEAR BAY
-118.11,33.92,32.0,1016.0,190.0,729.0,177.0,4.3,<1H OCEAN
-118.3,34.06,43.0,1366.0,740.0,942.0,672.0,1.6953,<1H OCEAN
-121.5,38.63,6.0,693.0,143.0,276.0,151.0,3.1944,INLAND
-122.79,39.02,23.0,642.0,203.0,265.0,84.0,1.8833,INLAND
-118.08,33.95,37.0,1743.0,348.0,1328.0,354.0,3.0944,<1H OCEAN
-118.93,35.37,34.0,2412.0,446.0,1558.0,421.0,2.6903,INLAND
-117.8,33.7,5.0,1549.0,378.0,735.0,355.0,5.2923,<1H OCEAN
-117.27,33.22,5.0,2283.0,337.0,999.0,325.0,5.0249,<1H OCEAN
-121.29,37.96,52.0,287.0,119.0,154.0,85.0,0.8738,INLAND
-118.38,33.81,36.0,1018.0,148.0,329.0,169.0,10.5045,NEAR OCEAN
-119.74,36.8,18.0,10862.0,2401.0,5466.0,2209.0,2.4678,INLAND
-121.61,39.13,21.0,1432.0,328.0,933.0,336.0,1.6823,INLAND
-119.32,37.06,15.0,3111.0,651.0,276.0,107.0,5.1314,INLAND
-117.26,34.48,6.0,4632.0,753.0,1851.0,694.0,4.1933,INLAND
-122.15,38.04,14.0,2804.0,587.0,1083.0,573.0,2.6466,NEAR BAY
-121.99,38.35,45.0,1778.0,339.0,839.0,319.0,2.4659,INLAND
-122.3,37.57,36.0,2406.0,436.0,1189.0,403.0,4.7917,NEAR BAY
-117.14,32.7,40.0,1227.0,330.0,1199.0,316.0,1.2188,NEAR OCEAN
-121.53,36.85,23.0,3359.0,725.0,1862.0,651.0,2.6719,INLAND
-118.24,33.97,41.0,1182.0,346.0,1644.0,346.0,2.1473,<1H OCEAN
-121.95,37.94,27.0,1469.0,216.0,578.0,219.0,5.9346,INLAND
-119.53,34.4,14.0,1671.0,383.0,1079.0,365.0,3.1389,<1H OCEAN
-122.38,37.91,18.0,3507.0,711.0,1224.0,676.0,5.0524,NEAR BAY
-121.29,38.28,11.0,1554.0,260.0,793.0,233.0,4.8073,INLAND
-121.17,38.71,15.0,3084.0,557.0,1040.0,562.0,2.5183,INLAND
-121.91,36.63,42.0,817.0,194.0,391.0,193.0,2.1776,<1H OCEAN
-118.75,34.18,4.0,16704.0,2704.0,6187.0,2207.0,6.6122,NEAR OCEAN
-118.47,34.42,17.0,913.0,228.0,530.0,201.0,3.038,<1H OCEAN
-120.93,35.76,11.0,8997.0,1698.0,1825.0,756.0,3.23,<1H OCEAN
-122.55,38.07,38.0,3392.0,709.0,1894.0,713.0,3.0573,NEAR BAY
-119.17,34.17,21.0,2361.0,464.0,1146.0,396.0,3.6597,NEAR OCEAN
-122.48,37.93,16.0,2947.0,802.0,1385.0,743.0,3.6731,NEAR BAY
-118.01,33.9,36.0,1382.0,257.0,685.0,255.0,5.125,<1H OCEAN
-117.21,33.03,20.0,3370.0,433.0,1020.0,408.0,11.0911,NEAR OCEAN
-121.42,37.75,33.0,1329.0,266.0,683.0,233.0,4.3687,INLAND
-121.22,38.16,24.0,4411.0,776.0,2038.0,732.0,3.475,INLAND
-122.02,36.98,44.0,1153.0,238.0,657.0,219.0,3.2368,NEAR OCEAN
-122.18,37.75,43.0,1036.0,233.0,652.0,213.0,2.069,NEAR BAY
-121.99,37.26,29.0,2718.0,365.0,982.0,339.0,7.9234,<1H OCEAN
-118.5,35.7,18.0,3303.0,814.0,986.0,522.0,1.5957,INLAND
-117.11,32.76,29.0,2030.0,545.0,1014.0,518.0,2.2409,NEAR OCEAN
-119.78,36.65,27.0,1226.0,240.0,706.0,211.0,2.77,INLAND
-118.3,33.86,35.0,1511.0,274.0,853.0,308.0,4.9792,<1H OCEAN
